title,specs,price,image,link
"4K UHD VC90A 10X AI Tracking PTZ Camera | Auto Tracking | HDMI/USB/LAN | Ideal for Online Teaching, YouTube Live Streaming, Worship, Conferences & Professional Video Production",10X AI Tracking PTZ Camera | Auto Tracking |,"42,749",https://m.media-amazon.com/images/I/51qq3z-cqKL._AC_UY218_.jpg,https://www.amazon.in/VIDEOCAST-VC90A-Conferences-Professional-Production/dp/B0GRGQSY3S/ref=sr_1_105?tag=nira6studio-21
"Nikon Z 7II + NIKKOR Z 24-120mm F/4 S Lens with Additional Battery, Optical Zoom, Black",+ NIKKOR Z 24-120mm F/4 S Lens with Additional,"2,67,755",https://m.media-amazon.com/images/I/51UUyhqoTuL._AC_UY218_.jpg,https://www.amazon.in/Nikon-24-120mm-Additional-Battery-Optical/dp/B0CBC35PTZ/ref=sr_1_106?tag=nira6studio-21
"3MP Dome Camera [Color Night Vision + MIC Audio + Smart Dual Light + Motion Detection] Hybrid 4in1 Switch for TVI/CVI/AHD/CVBS, Water & Dust Proof [New Version]",[Color Night Vision + MIC Audio + Smart Dual,999,https://m.media-amazon.com/images/I/41+4la+TeUL._AC_UY218_.jpg,https://www.amazon.in/GEMVISION-Camera-Vision-Detection-Version/dp/B0GPXDZNT1/ref=sr_1_109?tag=nira6studio-21
MyFitSpark Eagle i15 Pro Max Real 4K30FPS Dual Screens WiFi Action Camera Advanced Chipset Sony Sensor EIS 2.0 Stabilization Wide-Angle Supports External MIC Bike Helmet Camera for Moto Vlogging (O),Pro Max Real 4K30FPS Dual Screens WiFi Action Camera,"7,999",https://m.media-amazon.com/images/I/71qsysJOL6L._AC_UY218_.jpg,https://www.amazon.in/MyFitSpark-i15-Advanced-Stabilization-Wide-Angle/dp/B0D32V55RP/ref=sr_1_111?tag=nira6studio-21
"SJCAM ZV200 5K 80MP Flip Screen Digital Camera | 16X Digital Zoom, Sony Sensor with 6-Axis Gyro, 9 Preset Modes, 800 mAh Digital Point and Shoot Camera for Vlogging Beginners (Black)","80MP Flip Screen Digital Camera | 16X Digital Zoom,",,https://m.media-amazon.com/images/I/71aEzNkftDL._AC_UY218_.jpg,https://www.amazon.in/SJCAM-ZV200-Digital-Vlogging-Beginners/dp/B0FN7GFGKB/ref=sr_1_112?tag=nira6studio-21
"Camcorder FHD 1080P Video Camera for YouTube with 30FPS 36MP 3.0 Inch 270 Degree Rotation LCD, 16X Digital Zoom Vlogging Camera for Beginners with 2 Batteries Microphone, Remote, Stabilizer, Lens Hood",Video Camera for YouTube with 30FPS 36MP 3.0 Inch,"9,929
.",https://m.media-amazon.com/images/I/813Nv1JBZ-L._AC_UY218_.jpg,https://www.amazon.in/Camcorder-Beginners-Batteries-Microphone-Stabilizer/dp/B0CZ6KL7XW/ref=sr_1_113?tag=nira6studio-21
"Logitech Brio 100 Full HD 1080P Webcam for Meetings and Streaming, Auto-Light Balance, Built-in Mic, Privacy Shutter, USB-A, for Microsoft Teams, Google Meet, Zoom and More- Graphite","Full HD 1080P Webcam for Meetings and Streaming, Auto-Light","3,095",https://m.media-amazon.com/images/I/61nTmIUB0LL._AC_UY218_.jpg,https://www.amazon.in/Logitech-Meetings-Streaming-Auto-Light-Microsoft/dp/B0CHFM2KTR/ref=sr_1_114?tag=nira6studio-21
"Pansonic LUMIX S9 Full Frame Camera with 28-200mm L Mount Lens, Compact Mirrorless Camera for Content Creators with Real Time LUT, Open Gate and Easy Sharing of Photos & Video (Silver)","Full Frame Camera with 28-200mm L Mount Lens, Compact","3,22,864",https://m.media-amazon.com/images/I/71zRR2sFE1L._AC_UY218_.jpg,https://www.amazon.in/Pansonic-28-200mm-Compact-Mirrorless-Creators/dp/B0D53HBNZ9/ref=sr_1_115?tag=nira6studio-21
Sony Cinema Line FX2 Full-Frame Camera with XLR Handle | 4K 60P | S-Cinetone | Dual Base ISO | Compact & Lightweight | Made for Filmmakers - Grey,FX2 Full-Frame Camera with XLR Handle | 4K 60P,"2,89,490",https://m.media-amazon.com/images/I/710nYeGGLKL._AC_UY218_.jpg,https://www.amazon.in/Sony-Full-Frame-S-Cinetone-Lightweight-Rechargeable/dp/B0FQNW47WG/ref=sr_1_116?tag=nira6studio-21
OM SYSTEM OM-1 Mark II Mirrorless Camera (Body Only) I 20MP Stacked BSI Live MOS Sensor I Cross Quad Pixel AF I Notable Mark II Upgrades I DCI & UHD 4K Video I Black,Mark II Mirrorless Camera (Body Only) I 20MP Stacked,"2,22,999",https://m.media-amazon.com/images/I/71Y4WKwM1eL._AC_UY218_.jpg,https://www.amazon.in/OM-SYSTEM-Mirrorless-Stacked-Upgrades/dp/B0CSZ49STS/ref=sr_1_115?tag=nira6studio-21
